Mp1_MpSec22	ACPISUM_000421-T1	63.1	141	50	1	1	139	1	141	2.1e-43	172.2
Mp2	ACPISUM_003327-T1	72.8	136	37	0	28	163	1	136	4.8e-50	194.5
Mp3	ACPISUM_023208-T1	98.8	80	1	0	1	80	1	80	7.7e-38	152.9
Mp4_MpSec74	ACPISUM_029607-T1	70.9	141	39	1	1	141	1	139	4.0e-45	177.9
Mp5	ACPISUM_000747-T1	76.0	196	46	1	1	195	1	196	1.5e-82	302.8
Mp6	ACPISUM_016685-T1	68.3	205	50	3	1	203	11	202	1.3e-65	246.5
Mp7	ACPISUM_005940-T1	97.1	138	4	0	1	138	1	138	3.4e-78	287.7
Mp10_MpSec34	ACPISUM_018954-T1	97.2	145	4	0	1	145	1	145	2.2e-75	278.5
Mp11	ACPISUM_001753-T1	96.2	212	8	0	1	212	1	212	2.0e-117	418.7
Mp12	ACPISUM_018560-T1	83.5	254	42	0	1	254	1	254	6.5e-123	437.2
Mp15_MpSec24	ACPISUM_017262-T1	79.0	229	47	1	1	229	1	228	2.2e-109	392.1
Mp17	ACPISUM_021913-T1	94.6	112	6	0	5	116	139	250	7.7e-43	170.6
Mp20	ACPISUM_000236-T1	100.0	39	0	0	139	177	102	140	9.7e-17	84.0
Mp21	ACPISUM_022920-T1	93.3	135	9	0	1	135	1	135	1.1e-65	246.1
Mp22	ACPISUM_011913-T1	96.0	99	3	1	1	98	1	99	4.9e-51	197.2
Mp23	ACPISUM_010581-T1	97.4	154	4	0	1	154	1	154	6.8e-83	303.5
Mp24	ACPISUM_007236-T1	67.1	161	51	1	1	161	1	159	3.1e-54	208.4
Mp29	ACPISUM_018813-T1	96.7	153	5	0	1	153	1	153	3.1e-88	321.2
Mp30	ACPISUM_010584-T1	94.9	138	7	0	1	138	1	138	1.3e-72	269.2
Mp31	ACPISUM_020143-T1	67.4	135	43	1	1	135	1	134	8.7e-42	166.8
Mp32	ACPISUM_029815-T1	78.9	147	31	0	51	197	68	214	4.3e-58	221.5
Mp33	ACPISUM_007235-T1	92.0	199	16	0	1	199	1	199	1.9e-45	179.5
Mp35	ACPISUM_004900-T1	56.6	173	55	2	1	155	1	171	3.7e-44	174.9
Mp36	ACPISUM_011853-T1	96.0	124	5	0	13	136	73	196	2.7e-67	251.5
Mp37	ACPISUM_016252-T1	82.7	150	25	1	1	149	1	150	3.5e-52	201.4
Mp38	ACPISUM_003328-T1	65.5	165	49	3	1	164	20	177	3.9e-52	201.4
Mp40	ACPISUM_012434-T1	94.3	140	8	0	1	140	1	140	2.8e-75	278.1
Mp41	ACPISUM_007589-T1	94.3	193	11	0	1	193	1	193	5.3e-104	374.0
Mp42_MpSec35	ACPISUM_016061-T1	50.0	124	52	6	1	116	1	122	1.9e-16	82.4
Mp43	ACPISUM_019038-T1	97.0	230	2	1	1	230	1	225	8.2e-93	337.0
Mp44	ACPISUM_007043-T1	94.3	53	3	0	1	53	1	53	3.5e-19	91.7
Mp45_MpSec50	ACPISUM_001467-T1	51.4	183	81	5	1	178	1	180	5.5e-23	104.8
Mp46	ACPISUM_021231-T1	90.2	205	19	1	1	205	1	204	8.1e-108	386.7
Mp47_MpSec26	ACPISUM_021513-T1	54.7	75	27	2	1	69	37	110	7.1e-17	83.6
Mp50	ACPISUM_025988-T1	92.1	254	20	0	23	276	1	254	5.2e-142	500.7
Mp53	ACPISUM_014845-T1	75.8	157	28	4	1	148	1	156	5.0e-51	197.6
Mp54	ACPISUM_028007-T1	61.9	147	56	0	1	147	1	147	5.3e-45	177.6
MpCOO2	ACPISUM_007018-T1	55.8	265	71	2	1	265	1	219	2.4e-72	269.2
MpSec1_noSP	ACPISUM_012348-T1	51.6	366	170	5	11	371	1	364	2.0e-104	376.3
MpSec2_NoSP_partial	ACPISUM_010782-T1	73.6	216	56	1	6	220	21	236	5.7e-91	330.9
MpSec7_partial	ACPISUM_003319-T1	64.4	362	118	3	1	361	3	354	4.0e-69	259.2
Me10	ACPISUM_000420-T1	76.1	155	33	2	1	154	1	152	6.9e-59	223.8
MpSec8	ACPISUM_008807-T1	54.2	144	62	3	1	142	1	142	2.1e-36	149.1
MpSec3_partial	ACPISUM_002663-T1	60.0	55	22	0	2	56	20	74	3.9e-11	65.1
MpSec9	ACPISUM_028825-T1	67.3	257	77	3	157	412	1	251	9.2e-103	370.9
MpSec25	ACPISUM_003482-T1	98.9	274	3	0	1	274	1	274	7.4e-149	523.5
MpSec26	ACPISUM_021513-T1	54.7	75	27	2	1	69	37	110	7.1e-17	83.6
MpSec27_FL	ACPISUM_021144-T1	48.0	246	80	4	2	243	1	202	4.5e-47	185.7
MpSec28	ACPISUM_011508-T1	62.4	263	84	2	1	259	1	252	3.5e-64	242.3
MpSec38	ACPISUM_024729-T1	59.8	261	91	2	1	250	1	258	2.6e-76	282.3
MpSec42	ACPISUM_011508-T1	62.4	263	84	2	1	259	1	252	3.5e-64	242.3
MpSec75	ACPISUM_005470-T1	52.6	78	34	1	1	75	1	78	2.3e-15	79.7
